student_id,subject_id,subjecT_type,grade,semester,year,curriculum
8015c6ea4266753ba502a8c70c210a05,1076009,ฮาร์ดแวร์,C+,2,2562,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076010,เน็ตเวิร์ค,C+,2,2562,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076253,คณิตศาสตร์,C,2,2562,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076011,ซอฟต์แวร์,C,1,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076021,ฮาร์ดแวร์,C+,1,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076022,ฮาร์ดแวร์,C+,1,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076026,ซอฟต์แวร์,B,1,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076263,ซอฟต์แวร์,B,1,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076013,คณิตศาสตร์,B,2,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076014,อื่นๆ,A,2,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076023,ฮาร์ดแวร์,B,2,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076025,ซอฟต์แวร์,B,2,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076568,เลือกภาค,B,2,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1006004,เลือกภาค,S,3,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076015,อื่นๆ,,1,2564,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076024,ซอฟต์แวร์,,1,2564,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076311,อื่นๆ,,1,2564,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076582,เลือกภาค,,1,2564,วิศวกรรมคอมพิวเตอร์
1a6a1eff8cab8cce04dcc3a4f0ebb1f1,1006028,เลือกภาค,B+,1,2561,วิศวกรรมคอมพิวเตอร์
1a6a1eff8cab8cce04dcc3a4f0ebb1f1,1006030,คณิตศาสตร์,C+,1,2561,วิศวกรรมคอมพิวเตอร์
1a6a1eff8cab8cce04dcc3a4f0ebb1f1,1076001,ฮาร์ดแวร์,A,1,2561,วิศวกรรมคอมพิวเตอร์
1a6a1eff8cab8cce04dcc3a4f0ebb1f1,1076002,ซอฟต์แวร์,B,1,2561,วิศวกรรมคอมพิวเตอร์
1a6a1eff8cab8cce04dcc3a4f0ebb1f1,1006031,คณิตศาสตร์,C+,2,2561,วิศวกรรมคอมพิวเตอร์
1a6a1eff8cab8cce04dcc3a4f0ebb1f1,1076003,ฮาร์ดแวร์,C+,2,2561,วิศวกรรมคอมพิวเตอร์
1a6a1eff8cab8cce04dcc3a4f0ebb1f1,1076004,ซอฟต์แวร์,B,2,2561,วิศวกรรมคอมพิวเตอร์
