student_id,subject_id,subjecT_type,grade(num),grade,semester,year,curriculum
025f749d7a5d9b5c3f3d57b68e1de9e9,01076007,เน็ตเวิร์ค,1,D,1,2562,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076011,ซอฟต์แวร์,1,D,1,2562,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076022,ฮาร์ดแวร์,1.5,D+,1,2562,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076263,ซอฟต์แวร์,3,B,1,2562,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076009,ฮาร์ดแวร์,2,C,2,2562,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076014,อื่นๆ,3,B,2,2562,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076023,ฮาร์ดแวร์,3.5,B+,2,2562,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076028,เน็ตเวิร์ค,3,B,2,2562,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076015,อื่นๆ,3,B,1,2563,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076021,ฮาร์ดแวร์,2.5,C+,1,2563,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076027,เน็ตเวิร์ค,1,D,1,2563,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076008,ซอฟต์แวร์,2.5,C+,2,2563,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076013,คณิตศาสตร์,2.5,C+,2,2563,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076029,เน็ตเวิร์ค,3.5,B+,2,2563,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076419,เลือกภาค,3.5,B+,2,2563,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01006004,เลือกภาค,4,S,3,2563,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076311,อื่นๆ,,,1,2564,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,01006028,เลือกภาค,4,A,1,2561,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,01006030,คณิตศาสตร์,2,C,1,2561,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,01076001,ฮาร์ดแวร์,3,B,1,2561,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,01076002,ซอฟต์แวร์,1.5,D+,1,2561,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,01006031,คณิตศาสตร์,1.5,D+,2,2561,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,01076003,ฮาร์ดแวร์,2,C,2,2561,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,01076004,ซอฟต์แวร์,2.5,C+,2,2561,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,01076012,คณิตศาสตร์,2,C,2,2561,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,01076005,ซอฟต์แวร์,0,F,1,2562,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,01076006,ฮาร์ดแวร์,2,C,1,2562,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,01076007,เน็ตเวิร์ค,1.5,D+,1,2562,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,01076005,ซอฟต์แวร์,0,F,1,2563,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,01076005,ซอฟต์แวร์,3,B,2,2563,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,01076010,เน็ตเวิร์ค,1.5,D+,2,2563,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,01076253,คณิตศาสตร์,2,C,2,2563,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,01076008,ซอฟต์แวร์,,,1,2564,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,01076011,ซอฟต์แวร์,,,1,2564,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,01076263,ซอฟต์แวร์,,,1,2564,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01006028,เลือกภาค,4,A,1,2561,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01006030,คณิตศาสตร์,2.5,C+,1,2561,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076001,ฮาร์ดแวร์,3.5,B+,1,2561,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076002,ซอฟต์แวร์,3,B,1,2561,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01006031,คณิตศาสตร์,2,C,2,2561,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076003,ฮาร์ดแวร์,2.5,C+,2,2561,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076004,ซอฟต์แวร์,4,A,2,2561,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076012,คณิตศาสตร์,4,A,2,2561,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076005,ซอฟต์แวร์,2,C,1,2562,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076006,ฮาร์ดแวร์,4,A,1,2562,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076007,เน็ตเวิร์ค,3.5,B+,1,2562,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076582,เลือกภาค,3,B,1,2562,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076008,ซอฟต์แวร์,3,B,2,2562,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076009,ฮาร์ดแวร์,3.5,B+,2,2562,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076010,เน็ตเวิร์ค,2.5,C+,2,2562,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076253,คณิตศาสตร์,3.5,B+,2,2562,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076011,ซอฟต์แวร์,4,A,1,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076021,ฮาร์ดแวร์,4,A,1,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076022,ฮาร์ดแวร์,4,A,1,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076026,ซอฟต์แวร์,3,B,1,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076263,ซอฟต์แวร์,3,B,1,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076013,คณิตศาสตร์,3,B,2,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076014,อื่นๆ,4,A,2,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076023,ฮาร์ดแวร์,3.5,B+,2,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076025,ซอฟต์แวร์,4,A,2,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076568,เลือกภาค,3,B,2,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01006004,เลือกภาค,4,S,3,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076015,อื่นๆ,,,1,2564,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076024,ซอฟต์แวร์,,,1,2564,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,01076311,อื่นๆ,,,1,2564,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01006028,เลือกภาค,3.5,B+,1,2561,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01006030,คณิตศาสตร์,0,F,1,2561,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076001,ฮาร์ดแวร์,3.5,B+,1,2561,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076002,ซอฟต์แวร์,3,B,1,2561,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01006030,คณิตศาสตร์,1,D,2,2561,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076003,ฮาร์ดแวร์,1.5,D+,2,2561,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076004,ซอฟต์แวร์,2.5,C+,2,2561,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076012,คณิตศาสตร์,1.5,D+,2,2561,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01006031,คณิตศาสตร์,2.5,C+,3,2561,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076005,ซอฟต์แวร์,1.5,D+,1,2562,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076006,ฮาร์ดแวร์,2,C,1,2562,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076007,เน็ตเวิร์ค,1,D,1,2562,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076008,ซอฟต์แวร์,2,C,2,2562,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076009,ฮาร์ดแวร์,2.5,C+,2,2562,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076010,เน็ตเวิร์ค,2.5,C+,2,2562,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076253,คณิตศาสตร์,2,C,2,2562,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076011,ซอฟต์แวร์,2,C,1,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076021,ฮาร์ดแวร์,2.5,C+,1,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076022,ฮาร์ดแวร์,2.5,C+,1,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076026,ซอฟต์แวร์,3,B,1,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076263,ซอฟต์แวร์,3,B,1,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076013,คณิตศาสตร์,3,B,2,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076014,อื่นๆ,4,A,2,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076023,ฮาร์ดแวร์,3,B,2,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076025,ซอฟต์แวร์,3,B,2,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076568,เลือกภาค,3,B,2,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01006004,เลือกภาค,4,S,3,2563,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,01076015,อื่นๆ,,,1,2564,วิศวกรรมคอมพิวเตอร์
