studentid,comp_name,position,salary
7f70ec400b495a1483b8422545527840,The Qsa (kfc) โลตัสบ้านฉาง,เทคโนโลยีการเกษตร,15000
7e70f3baddc66aad09f27d5de8a3d7ba,เนเจอร์สลิม,-,15000
deee1d9c81703a63cd9c71610c7203e9,โคเดียม จำกัด,แต่สาขาที่เรียนมีวิชาเขียนโปรแกรม ซึ่งสามารถนำมาใช,28000
7274dccab92dcf5fe47a150d270f56a7,รร.สาธิต มศว ฝ่ายมัธยม,เป็นอาจารย์พัฒนาศักยภาพเด็กพิเศษ  แต่ใช้ความรู้วิช,20000
ae40ae44ec68199106a08379b06337d1,V CAN TECHNOLOGY CO.,LTD.,ตอนนี้มีแต่งานเอกสาร,15000
f19059e3ffb3340fd0df14d336a14a19,,เทรนเนอร์,10000
0897ad1267c0be279179413062d51f4c,บริษัท ซันฟู้ดอินเตอร์เนชั่นแนล จำกัด,เรียนจบทางด้านปิโตรเคมี แต่ได้ทำงานเกี่ยวกับการวิเ,19000
4701988075a4d4a721fda6f04b4e81e1,ศูนย์วิจัยทางการแพทย์อาชีวเวชศาสตร์ไทย จำกัด,เป็นงานใช้คอมพิวเตอร์ในการตรวจสอบข้อมูลตรวจสุขภาพข,15,000
c7811f2bb7b91b44bbeb3400b935c446,Krungsri Auto Banking,จะเน้นไปทางด้านไอที และทาง business ซึ่งสายที่ได้เ,25,000
2954477f567b3c872f7eac7be9aed483,เงินติดล้อ จำกัด (มหาชน) สำนักงานใหญ่,ไม่ได้ใช้เกี่ยวกับที่เรียน,13500
d2aaf9bf7f53bdd650e59c13403f029a,Tech Soft Holding,งานที่ทำเกี่ยวกับทางด้านคอมพิวเตอร์และใช้ความรู้ทา,25000
0d1af6f551cf8895cde31b3977ec398f,,-,20000
f12d969b293cfb4e9ce1005f3fc20ce3,PSI marketing,แต่มีความเชื่อมโยงกันอยู่,30000
676df0a113ee18c10f18002c5be5de46,สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ (สวทช.),งานที่ทำเกี่ยวกับชีวมวล,17000
f8cb506eb467a0e1199b7d1e8f0b335d,บริษัท เทเลอินโฟมีเดีย จำกัด (มหาชน),ด้านงานขาย,16000
25df0cf21648b181133fe77b1ae1c111,เอส อาร์ เคเบิ้ล เทเลเทค,เกี่ยวกับประสานงาน,24000
07d4da81e542ed464ca82d406719babf,ห้างหุ้นส่วนจำกัด เอ็น.เอ็ม.คูล เอ็นจิเนียริ่ง,ธุรกิจของครอบครัวไม่สอดคล้องกับสาขาวิชาที่เรียน,100000
f728a42c1ed276dbe560591dc1254dd2,บริษัท ซินเท็ค อินเตอร์ จำกัด,ไม่ใช่ธุรกิจอาหาร,14250
d0e81df4fd62b3fd1d7e6755099775f2,คลินิกทันตกรรมบลูเดนทัล,ทำระหว่างรองานที่ตรงสาย,13,000
d36eb5b11964662cad8224a3b5de0271,บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน),ไอทีย้ายมาการเงิน,20000
3b5b1ef5e90d95d36a592235654e1faa,อินเทลลิเจนท์ สแต๊ก จำกัด,ใกล้เคียง,
fbc6cd81399bf915834724338ccdc0de,Globlex Securities ,กำกับตรวจสอบ,19000
2f9707f6b1f6ff061f3dff7cc353d93c,บริษัท ไทย ดอท คอม จำกัด,ไม่ค่อยตรงเท่าไหร่,21,000
9045f98a897f2b551acf72819fe3ef93,บริษัท อะพอสโทฟี โฮลดิ้งส์ จํากัด ,งานสรรหาบุคลากร,17000
38da772924051ae7b54ab1058bb40c86,DHl,โลจิสติกส์,15000
87aa3955ec84354266fc04d7971da14b,,เกี่ยวกับความบันเทิงและตัดต่อ,80,000
5aeba2753a80fc88ecae7b68d5e2c112,PricewaterhouseCoopers ABAS Ltd.,ไม่ได้เรียนบัญชีมาเหมือนนักบัญชี และไม่ได้มีการเรี,34000
cdccc5932c1a97f45a732c8f8fcfc6cf,,ตรงเพียงส่วนน้อย,30000
5420d781c6e31a835e727c2a22d05ec2,,ทำงานสายการบิน,20000
c7475dfd0729127cb7ceef9de159303a,บริษัท มายชา จำกัด,จบเศรษฐศาสตร์ทำงานด้านการตลาด,21,000
2268515bb0c8256edacc12753686bd7d,ดาต้า ดีเวลลอป จำกัด,เปลี่ยนจากเศรษฐศาสตร์เป็นบัญชี,16000
f7797ed02e664bec3b3eecc855a452cf,ธนาคาร ซิตี้แบงก์ เอ็น.เอ.,จบ Econ แต่ทำงานสาย IT,40000
b75ee8711b4a95f5e253a372a73b2051,บริษัท เอเลนน่า เฮลตี้ จำกัด,เรียนเศรษฐศาสตร์,20000
fa7cbca6741dc448035d0ae8b6bb7d86,Particle Measuring Technique Co.,Ltd.,การตลาด,17000
719df21289c56a156172fac19b647ba5,บริษัท ฟูจิ อิเลคทริค แมนูแฟคเจอร์ริ่ง (ประเทศไทย) จำกัด,เป็นงานด้านการขาย,19000
506776587951c01a249dd6de42b3f71d,ส.อะไหล่ยนต์ บางกะปิ,งานขายอะไหล่รถยนต์,20,000
5c8eb59fa8bea96fb1c7cc120fcf887a,ไทยรวมยนต์ เทรดดิ้ง จำกัด,ใช้ภาษาอังกฤษเป็นหลัก,20,000
3d6e820fcce5a0e80d2f6fc4175dd693,ไทย ซังเกียว รีไซเคิล จำกัด,ทักษะด้านที่เรียนมาได้ใช้ค่อนข้างน้อย เนื่องจากเป็,15000
053798dca1de649159f087a9ee6c6590,บริษัท ไทยเมจิฟาร์มาซิวติคัล จำกัด,ไม่ได้ใช้ภาษามาก,17,000
f519e0fd3ebea6e3206ebc9a31d0f43e,Chutie is baking,ไม่มีพื้นฐานการบริหารธุรกิจ,15,000
1fd0b51c8b5cf064b7c64dc2c65235e8,AMERICAN COMMERCIAL TRANSPORT (THAILAND),โลจิสติกส์,15,000
e006bcfb73a60bb36ca9dcd5596af04f,,จัดดอกไม้,17000
fa46e30fe300fd38728093f3b51ce4fb,ydm thailand,ด้านโฆษณา,18,000
